Which category does the property fall under?,What will the project consist of?,What is the intended material for the fence or gate?,What is the desired height of the fence?,What is the estimated length of the fence?,How many access gates are to be included in the fence design?,Should the professional be responsible for supplying the materials?,Please indicate any supplementary fence-related services you may need?,When would you like the work to start?,How likely are you to hire a professional?,Additional Details
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),4 feet (1.2 meters),Less than 50 feet (under 15 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,As soon as possible,I'm leaning towards hiring someone,We’re selling the Detached - semi-detached or terraced house and need to replace the fence to the left and front of the property
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,Within the next few days,I'm ready to hire immediately,I’ve had trees removed on the border between mine & my neighbours Detached - semi-detached or terraced house and need about 12 to 15 ft of fencing erecting to match some existing fencing asap.
Maisonette,Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters)  No gates required,One gate,No - I will be providing the materials myself,No additional services required,Within the next few months,I'm still researching and exploring options,Its a council property and I need fence only on my left side
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),5 feet (1.5 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,As soon as possible,I'm ready to hire immediately,I need around 5 meters of 5 ft fence installed
Single-story home (Bungalow),Two concrete fence posts + 2 6x4 panels,Timber/Wood (commonly used),4 feet (1.2 meters),Less than 50 feet (under 15 meters),No gates required,No - I will be providing the materials myself,No additional services required,I'm flexible,I'm certain I'll be hiring someone,Fitting 2 concrete fence posts and two 6x4 panels and removing the old ones
Business or commercial property,Installation of a new fence,As advised by a qualified professional,As advised by a qualified professional,100-200 feet (30-60 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,to install,Within the next few weeks,I'm leaning towards hiring someone,Require wire netting to surround bowls green to deter rabbits.
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),Greater than 8 feet (over 2.4 meters),100-200 feet (30-60 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm certain I'll be hiring someone,We have a pre existing wall just need a fence on top
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,Wood staining,As soon as possible,I'm ready to hire immediately,I would like a concrete / gravel board dug into the soil at the base of the fence and a 5 ft wooden panel above. Please quote for concrete posts
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),50-100 feet (15-30 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm ready to hire immediately,Not applicablee
Detached - semi-detached or terraced house,Replacement of the existing fence,As advised by a qualified professional,As advised by a qualified professional,Unsure,No gates required,No - I will be providing the materials myself,No additional services required,Within the next few months,I'm certain I'll be hiring someone,
Detached - semi-detached or terraced house,Replacement of the existing gate,Timber/Wood (commonly used),As advised by a qualified professional,Just a gate  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I might hire someone,One gate to be replaced
Detached - semi-detached or terraced house,Repair of the existing fence,Timber/Wood (commonly used),7 feet (2.1 meters),Less than 50 feet (under 15 meters)  No gates required,One gate,No - I will be providing the materials myself,No additional services required,I'm flexible,I'm still researching and exploring options,
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),7 feet (2.1 meters),100-200 feet (30-60 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,As soon as possible,I'm certain I'll be hiring someone,Most of the posts should be fine and we need new panels fitted.
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),200-300 feet (60-90 meters),Four or more gates,Yes - I would like the professional to supply the materials,No additional services required,As soon as possible,I'm still researching and exploring options,Just need replacing fance
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,Within the next few weeks,I'm ready to hire immediately,Replacement of 5 panels and posts
Single-story home (Bungalow),Repair of the existing fence,Timber/Wood (commonly used),5 feet (1.5 meters),50-100 feet (15-30 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,As soon as possible,I'm certain I'll be hiring someone,
Detached - semi-detached or terraced house,Replacement of the existing gate,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,Within the next few weeks,I'm ready to hire immediately,
Detached - semi-detached or terraced house,Installation of a new fence,As advised by a qualified professional,7 feet (2.1 meters),Unsure  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,Within the next few months,I'm ready to hire immediately,
Detached - semi-detached or terraced house,Fence panel and gate,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,Paint myself,Enquiry,I'm certain I'll be hiring someone,1 standard fence panel. 1 post. 1 gate
Single-story home (Bungalow),Repair of the existing fence,Timber/Wood (commonly used),7 feet (2.1 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,Within the next few weeks,I'm ready to hire immediately,
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),Less than 4 feets (under 1.2 meters),Unsure,No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm certain I'll be hiring someone,"Need a existing fence replaced approx 10 to 12 panels , and possibly some new posts"
Apartment or flat,Installation of a new fence,Timber/Wood (commonly used),4 feet (1.2 meters),Less than 50 feet (under 15 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,Application of sealant,I'm flexible,I'm certain I'll be hiring someone,Parking available 9.30am-4.00pm on dalry road.
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),As advised by a qualified professional,50-100 feet (15-30 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,As soon as possible,I'm certain I'll be hiring someone,
Detached - semi-detached or terraced house,Repair of the existing fence,Composite materials,Less than 4 feets (under 1.2 meters),Less than 50 feet (under 15 meters)  No gates required,One gate,Have some material in garage,No additional services required,As soon as possible,I'm ready to hire immediately,Fence damage due to weather high winds
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),Unsure,No gates required,No - I will be providing the materials myself,No additional services required,Within the next few months,I'm still researching and exploring options,
Detached - semi-detached or terraced house,Installation of a new fence,As advised by a qualified professional,Less than 4 feets (under 1.2 meters),Unsure,No gates required,Yes - I would like the professional to supply the materials,Fence and/or gate painting,I'm flexible,I'm leaning towards hiring someone,
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),Unsure  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,Within the next few months,I'm still researching and exploring options,I need a new fence panel and gate was damaged. Really need someone to come out and have a look first
mix use,Replacement of the existing gate,Timber/Wood (commonly used),6 feet (1.8 meters),100-200 feet (30-60 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm certain I'll be hiring someone,i have a old wood gate and need replacing on driveway of the property and need one with lock / ket as well thx
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),4 feet (1.2 meters),Less than 50 feet (under 15 meters)  No gates required,One gate,No - I will be providing the materials myself,Wood staining,Within the next few weeks,I'm certain I'll be hiring someone,
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm still researching and exploring options,A fence i believe to be of at least 6 panels
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),50-100 feet (15-30 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,As soon as possible,I'm ready to hire immediately,
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),50-100 feet (15-30 meters),No gates required,Yes - I would like the professional to supply the materials,Fence and/or gate painting,I'm flexible,I'm leaning towards hiring someone,
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),200-300 feet (60-90 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,Within the next few weeks,I'm still researching and exploring options,
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters),No gates required,No - I will be providing the materials myself,No additional services required,As soon as possible,I'm leaning towards hiring someone,
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),5 feet (1.5 meters),50-100 feet (15-30 meters),No gates required,Yes - I would like the professional to supply the materials,Posts,Within the next few weeks,I'm still researching and exploring options,
Detached - semi-detached or terraced house,Installation of a new fence,Wire,6 feet (1.8 meters),50-100 feet (15-30 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm still researching and exploring options,Need a wire fence erected at the rear of the garden.
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),Unsure,No gates required,Yes - I would like the professional to supply the materials,No additional services required,As soon as possible,I'm ready to hire immediately,
Apartment or flat,Installation of a new fence,Aluminium,As advised by a qualified professional,Unsure  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,As soon as possible,I'm still researching and exploring options,
Single-story home (Bungalow),Replacement of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,Application of sealant,As soon as possible,I'm certain I'll be hiring someone,
Detached - semi-detached or terraced house,Replace some of rotton fence and build metal shed,Shed metal plasticy,6 feet (1.8 meters),Less than 50 feet (under 15 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,Paint shed different colour,I'm flexible,I'm leaning towards hiring someone,Hoping to get a reasonal price thanks.
Detached - semi-detached or terraced house,Replacement of the existing gate,Composite materials,5 feet (1.5 meters),50-100 feet (15-30 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm ready to hire immediately,
Detached - semi-detached or terraced house,Repair of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,Within the next few days,I'm certain I'll be hiring someone,We need a fence repaired and a gate replaced. The current one is probably still usable but leans due to wind damage.
Detached - semi-detached or terraced house,Extension,Timber/Wood (commonly used),6 feet (1.8 meters),Unsure,No gates required,Yes - I would like the professional to supply the materials,No additional services required,As soon as possible,I'm ready to hire immediately,"We have fences already installed, but they are lower in one end and passers by can see in our garden. For this reason we would like to heighten them"
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),50-100 feet (15-30 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm still researching and exploring options,No special requirements
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,Within the next few weeks,I'm certain I'll be hiring someone,Access through shared close.
Detached - semi-detached or terraced house,Installation of a new fence,Chain link,4 feet (1.2 meters),Unsure,No gates required,Yes - I would like the professional to supply the materials,No additional services required,Within the next few months,I'm still researching and exploring options,"Large open garden, mostly fenced already, but need wire chain fencing along a woodland area to keep dogs from straying in there"
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),As advised by a qualified professional,50-100 feet (15-30 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,Within the next few weeks,I'm leaning towards hiring someone,
Detached - semi-detached or terraced house,Replacement of the existing fence,As advised by a qualified professional,As advised by a qualified professional,Unsure,No gates required,We can see,No additional services required,As soon as possible,I'm certain I'll be hiring someone,Will see when Visit
Detached - semi-detached or terraced house,Installation of a new fence,Composite materials,6 feet (1.8 meters),Unsure,No gates required,Yes - I would like the professional to supply the materials,No additional services required,Within the next few months,I'm still researching and exploring options,I want a quote to have fence completely restored. It’s quite a large area so want a quote to see if I can afford to go ahead
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),50-100 feet (15-30 meters)  No gates required,One gate,No - I will be providing the materials myself,No additional services required,I'm flexible,I'm still researching and exploring options,Side gate to the Detached - semi-detached or terraced house
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),5 feet (1.5 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm still researching and exploring options,"Would like a trellis to be installed about 3 metres long, 5 foot high along an existing fence belonging to a neighbour"
Detached - semi-detached or terraced house,replace existing fence and gate,Timber/Wood (commonly used),7 feet (2.1 meters),Less than 50 feet (under 15 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm ready to hire immediately,
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),8 feet (2.4 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,Within the next few weeks,I'm ready to hire immediately,Put 3posts in and a fence
Massionette Apartment or flat,New fence n gate,Timber/Wood (commonly used),4 feet (1.2 meters),Less than 50 feet (under 15 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,As soon as possible,I'm certain I'll be hiring someone,Wooden fence with gate required max 6 posts required fence no greater than 10m total supplied and fitted cost required and timescale when job cancelled be done 4 feet (1.2 meters) in height for fence and gate
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),Unsure,Three gates,Yes - I would like the professional to supply the materials,No additional services required,Within the next few months,I'm still researching and exploring options,I would like a quote for new fencing
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),100-200 feet (30-60 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm leaning towards hiring someone,good one
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),8 feet (2.4 meters),Unsure,No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm ready to hire immediately,
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),Greater than 8 feet (over 2.4 meters),Less than 50 feet (under 15 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,Within the next few months,I'm still researching and exploring options,
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),5 feet (1.5 meters),50-100 feet (15-30 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,Within the next few weeks,I'm leaning towards hiring someone,It's a straight line
Single-story home (Bungalow),Installation of a new fence,Timber/Wood (commonly used),As advised by a qualified professional,Unsure,No gates required,Yes - I would like the professional to supply the materials,No additional services required,Within the next few months,I'm certain I'll be hiring someone,
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),50-100 feet (15-30 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,As soon as possible,I'm ready to hire immediately,Full garden fence instalation with gravel boards
Detached - semi-detached or terraced house,Replacement of the existing gate,Timber/Wood (commonly used),6 feet (1.8 meters),12ft,Two gates,No - I will be providing the materials myself,Electric remote,I'm flexible,I'm still researching and exploring options,
Cottage,Installation of a new fence,Timber/Wood (commonly used),4 feet (1.2 meters),50-100 feet (15-30 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,Within the next few days,I'm certain I'll be hiring someone,
Detached - semi-detached or terraced house,Repair of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,Within the next few days,I'm ready to hire immediately,The base of part of the fence shared by my neighbour and me was broken with sharp and rusty nails popping out at my patio side. I want it repaired appropriately to prevent any cuts and injuries.
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),5 feet (1.5 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm leaning towards hiring someone,10 fence panels and concrete posts to replace as they have mostly shifted by old tree roots.
Detached - semi-detached or terraced house,Repair of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),Unsure  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,Within the next few months,I'm leaning towards hiring someone,My fence was damaged due to a storm
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters),No gates required,Quotes for both,No additional services required,Within the next few weeks,I'm certain I'll be hiring someone,Existing fence is broken  I have side access
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),50-100 feet (15-30 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,Within the next few months,I'm certain I'll be hiring someone,
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,As soon as possible,I'm still researching and exploring options,Want to put a fence up infront of an existing lower fence that I share with a neighbour
Detached - semi-detached or terraced house,Replacement of the existing fence,Composite materials,5 feet (1.5 meters),Unsure,No gates required,Yes - I would like the professional to supply the materials,No additional services required,Within the next few weeks,I'm certain I'll be hiring someone,I want to replace my wooden fence with a Composite materials one
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),More than 300 feet (over 90 meters)  No gates required,One gate,Tbc,No additional services required,As soon as possible,I'm ready to hire immediately,
Detached - semi-detached or terraced house,Installation of a new gate,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters),Three gates,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm ready to hire immediately,to fit 3 new Gates
Apartment or flat,Installation of a new fence,Timber/Wood (commonly used),Greater than 8 feet (over 2.4 meters),Less than 50 feet (under 15 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,Within the next few months,I'm still researching and exploring options,
Detached - semi-detached or terraced house,Installation of a new gate,Timber/Wood (commonly used),4 feet (1.2 meters),Just the gate - no fence.  No gates required,One gate,No - I will be providing the materials myself,No additional services required,Within the next few days,I'm certain I'll be hiring someone,Front garden gate needs to be installed. There is currently no gate or gate posts.
Detached - semi-detached or terraced house,Installation of a new fence,Composite materials,Less than 4 feets (under 1.2 meters),Unsure  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm still researching and exploring options,New fence and gate
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),Less than 4 feets (under 1.2 meters),Unsure,No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm ready to hire immediately,"I am looking to get a fence installed between me and my neighbour, to the right as you look at the Detached - semi-detached or terraced house."
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),4 feet (1.2 meters),Less than 50 feet (under 15 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm certain I'll be hiring someone,Replace a panelled fence in back garden
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),5 feet (1.5 meters),Less than 50 feet (under 15 meters),No gates required,Not sure at the moment,No additional services required,Within the next few months,I might hire someone,Garden is on abit of a slope
Detached - semi-detached or terraced house,"Replace, move and install fence",Wood and concrete,6 feet (1.8 meters),100-200 feet (30-60 meters)  No gates required,One gate,To discuss,To discuss,Within the next few months,I'm still researching and exploring options,"We would like some fence replaced, some fence and gate moved and new fence installed. We would also like some land cleared if that is a service provided."
Single-story home (Bungalow),Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),Unsure  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,Within the next few months,I'm still researching and exploring options,
Apartment or flat,Installation of a new fence,Timber/Wood (commonly used),5 feet (1.5 meters),Unsure,No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm certain I'll be hiring someone,5ft fencing
Detached - semi-detached or terraced house,Installation of a new fence and gate,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,Within the next few months,I'm still researching and exploring options,
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),As advised by a qualified professional,Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,Just need a quote,I'm still researching and exploring options,Tough ground and whole of right side of garden fence panels need replacing. Couple of bushes in way
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),7 feet (2.1 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm still researching and exploring options,"A fence to go in front of the neighbours existing fence, started planning on cost and not exactly sure how much it would be to do this."
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),7 feet (2.1 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,Application of sealant,I'm flexible,I'm certain I'll be hiring someone,
Detached - semi-detached or terraced house,Installation of a new fence,Not sure,Less than 4 feets (under 1.2 meters),Unsure,No gates required,Yes - I would like the professional to supply the materials,No additional services required,Within the next few weeks,I'm leaning towards hiring someone,Cheapest fence between two drives
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),50-100 feet (15-30 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm certain I'll be hiring someone,My fence is loose so needs replacing
Detached - semi-detached or terraced house,Installation of a new gate,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,Application of sealant,I'm flexible,I'm certain I'll be hiring someone,Install a 6 foot gate to the side of the Detached - semi-detached or terraced house and hedge
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),Unsure,No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm still researching and exploring options,
Apartment or flat,Replacement of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,Within the next few months,I'm leaning towards hiring someone,This a small garden of a ground floor Apartment or flat.
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),50-100 feet (15-30 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,Within the next few months,I'm still researching and exploring options,Garden is approximately 95ft
Detached - semi-detached or terraced house,Installation of a new fence,As advised by a qualified professional,5 feet (1.5 meters),50-100 feet (15-30 meters),Two gates,Yes - I would like the professional to supply the materials,No additional services required,Within the next few weeks,I'm leaning towards hiring someone,Having sunroom fitted and need to replace wooden fence around semi detached Detached - semi-detached or terraced house including side fence and driveway
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,Within the next few months,I'm still researching and exploring options,
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),4 feet (1.2 meters),50-100 feet (15-30 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,"Application of sealant, Wood staining",Within the next few months,I'm still researching and exploring options,
Single-story home (Bungalow),Replacement of the existing fence,Timber/Wood (commonly used),7 feet (2.1 meters),200-300 feet (60-90 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm still researching and exploring options,Easy access continuation of existing fences
Detached - semi-detached or terraced house,Installation of a new fence,Composite materials,6 feet (1.8 meters),Unsure,No gates required,Yes - I would like the professional to supply the materials,No additional services required,Within the next few months,I'm still researching and exploring options,I want a quote to have fence completely restored.
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),Unsure,No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm still researching and exploring options,Need yo replace fence 7 panels snd inwant to use concrete post that fence slide thru  Looking for reasonable offers shopping around
Detached - semi-detached or terraced house,Installation of a new fence,Composite materials,7 feet (2.1 meters),100-200 feet (30-60 meters),No gates required,Maybe,No additional services required,Within the next few weeks,I'm leaning towards hiring someone,
Apartment or flat,Installation of a new fence,Timber/Wood (commonly used),Less than 4 feets (under 1.2 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm certain I'll be hiring someone,Need at least 3 small panel at the front
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),50-100 feet (15-30 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm leaning towards hiring someone,
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),Greater than 8 feet (over 2.4 meters),50-100 feet (15-30 meters),Two gates,Yes - I would like the professional to supply the materials,No additional services required,Within the next few days,I'm ready to hire immediately,I would like panels that have a bit of pattern on top. one gate is for the front and one for the back. The back gate should be lockable.
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),7 feet (2.1 meters),Less than 50 feet (under 15 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,Application of sealant,Within the next few months,I'm still researching and exploring options,
Detached - semi-detached or terraced house,Repair of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),100-200 feet (30-60 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,New posts,Within the next few months,I might hire someone,
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),4 feet (1.2 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,Replace post and gravel board.,I'm flexible,I'm leaning towards hiring someone,Replace six panels 6 x 4ft Replace two panels 6 x 4 ½ft Replace one broken middle concrete fence post Replace one broken gravel board
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),5 feet (1.5 meters),Less than 50 feet (under 15 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,As soon as possible,I'm ready to hire immediately,"I’d like between 3-4 new wooden fence panels installed that have become damaged, they are around 5ft. I would also need a new wooden gate fitted"
Single-story home (Bungalow),Installation of a new fence,Timber/Wood (commonly used),4 feet (1.2 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm still researching and exploring options,4 x 4ft panels & 4x6ft panels plus concrete posts & gravel boards
Detached - semi-detached or terraced house,Installation of a new fence,Steel,7 feet (2.1 meters),Less than 50 feet (under 15 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm certain I'll be hiring someone,
Detached - semi-detached or terraced house,new post as the wind has blown the fence panel,Timber/Wood (commonly used),6 feet (1.8 meters),Unsure,No gates required,Yes - I would like the professional to supply the materials,No additional services required,As soon as possible,I'm certain I'll be hiring someone,"the fence panel has blown down due to the wind,need a rough estimate on how much it would cost."
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),Unsure,No gates required,Yes - I would like the professional to supply the materials,No additional services required,Within the next few weeks,I'm still researching and exploring options,I just need 7 6ft panels and posts as  fence is falling down.Cheapest if possible as on benefits.
